dialogue_line,humor
"Vic! Where have you been, baby?!",1.0
Where’s Kate?,0.0
She got a job in L.A.,0.0
What?!,1.0
I’ve been waiting up all night for ya. Where have you been?  Where have you been? Vic?!,1.0
"Oh, ahh, go to the window. I’m wanna run down to the truck and show you something.",1.0
"What do you got down there, Vic? What do you got under that tarp?",1.0
When is she leaving?,0.0
Tonight. What are you doing?,1.0
I’m coming up!,0.0
"Hey, mind if I use the phone?",1.0
"Oh, I...",1.0
"Why don’t you use ours across the hall, ‘cause she...has...problems.",1.0
"Oh-ho, whoa! Sorry, Tommy. I almost spilled this hot coffee on you.",1.0
"Yeah, but you didn’t.",1.0
"No, but it’s-it’s-it’s hot!",0.0
"Ross, would you just stop it! It’s getting really old.",1.0
I can’t believe no one believes me!,0.0
"I do, I believe you.",1.0
You do Pheebs?,1.0
Yeah. But I also believed her  when she said I was next.,1.0
"Ooh, hey! Hey, there little fella.  Mr. Fuzzy-Man, how are you doing?  Aww.  Eww! Oh! Eww! Gross! Idiot!! Stupid little, fuzzy, yellow creature!! Oh look at me, I’m so cute, I’m a little chick who’s disgusting! God, you’re so stupid, how are you not yet extinct!!   Quack-quack, quack-quack!! What are you quacking about?! Dumb Donald Doo-Doo!!",1.0
Step away from the duck.,0.0
"Ooh, sorry little Mr. Chic-A-Dee, sorry you went doody in my hand!   Well, I guess we’re not going out anymore. Whaa!!!",1.0
Joey!,0.0
Hey!,0.0
"I’m soo glad I caught you, I couldn’t find you before.",1.0
Wh-wh-what’s going on? Wh-what’s this about L.A.?,1.0
They still want me for General Hospital.,1.0
"But, but wh-what about us?",1.0
Last night was wonderful. But I-I can’t stay here just for you.,1.0
"Well, so, stay for the museums!",0.0
I’m sorry.,1.0
"Joey, onstage!",0.0
"Well can you at least stay to the end of the play? I mean, I’ll go to the airport with ya, I-I wanna say good bye.",1.0
Where are you Vic?,0.0
Flight’s in an hour. I-I gotta go.,1.0
Vic! Vic! Vic!!!,1.0
In a minute!!,0.0
So this is it? Victor?,1.0
"Yeah, I guess it is.  Listen, I ah, I gotta say good bye, and-and I gotta say it quick ‘cause this is killing me. One thing you gotta know, is that I will never forget you. But, you’ve got things you have to do now, and so do I. And so... I’m gonna get on this spaceship,  and I’m gonna go to Blargon 7 in search of alternative fuels. But when I return, 200 years from now, you’ll be long gone. But I won’t have aged at all.  So you tell your great-great-granddaughter to look me up, because Adrienne, baby, I’m gonna want to meet her.",1.0
"So long, Vic!",0.0
"Phoebe, it’s been two days.",0.0
"Yeah, I know. Oh, good thing it’s one of those 801 numbers. Right?",1.0
"Phoebe, 800 is toll free, 801 is-is Utah.",0.0
"No, no, no, oh no-no-no, it’s has to be 800.  ‘Cause all those big companies have 800 numbers, every one.  Yeah, every big Utah-based company has one.",1.0
Phoe-be!!,0.0
"Sorry, I’m so sorry, I will pay you back.",0.0
"And yet, she’s still not hanging up the phone.",1.0
Hang it up! Hang up the phone!!,1.0
Fine! Fine!  Oh-oh!,1.0
What?,1.0
"Well, I think I broke it. But that’s all right, here’s the number you can call.",1.0
Oh.,0.0
"Hey, wouldn't be cool if our duck and chick had a little baby? We could call it Chuck.",1.0
Or... Dick.,1.0
Hey.,0.0
Hey.,0.0
"Listen, I-I need a favor. Umm, I was in the shower, and as I was cleansing myself, I ah, I-I, well I felt something.",1.0
Was it like a sneeze only better?,1.0
"No, no, I mean, I mean a thing on my body.",1.0
What was it?,1.0
"Well, I don't know, it's-it's kinda in a place that's not... It's not visually accessible to me, and I was hoping maybe you guys could-could help me out.",1.0
Whoa!!!,0.0
No!!,0.0
"Come on you guys, it's no big deal!",0.0
Whoa-heeeiiiiii-iiiii-ah!!  Huh.,1.0
Well what is it? Is it a mole?,1.0
"No, it's too wrinkly to be a mole.",1.0
"Well, eww. What? Is it a pimple?",1.0
"No, it's... fancier than a pimple. Look Ross, why don't you just go see a...",1.0
Hey guys! What's...,1.0
"Okay, well, it's definite, two more weeks of winter.",0.0
Ahhh.,0.0
"Yeah, right.",1.0
"Okay, and then this is the coffee house. This is where I play my music.",1.0
Good deal.,0.0
"Yeah, and these are my friends. People. This is Vince, Vince the people.",1.0
Hi!,0.0
Hey!,0.0
Hey!,0.0
Vince is a fireman.,0.0
Wow! Have you ever rescued anyone from a burning building before?,1.0
"98 hot saves, highest in the force.",0.0
"Well, y'know if Joey and I played with matches we could get you up to an even hundred.",1.0
"Fire safety is not a joke, son.",0.0
"You're right, I know.",1.0
"Look, I gotta go. I'm on call tonight.  See you Saturday.",1.0
Okay.,0.0
"Wow, he's cute, Pheebs! But I thought you just started dating that Kindergarten teacher.",1.0
"Oh, Jason? Yeah, uh-huh, we're seeing each other tonight.",1.0
What-Pheebs?! Two dates in one day? That's so unlike you.,1.0
"I know, I know! I'm like playing the field. Y'know? Like, juggling two guys, I'm sowing my wild oats. Y'know? Y'know, this kind've like y'know oat-sowin', field-playin' juggler.",1.0
"So Pheebs, do they know about each other?",1.0
"Does a dog's lips move when he reads?  Okay, no they don't.",1.0
Hey guys!,0.0
Hey.,0.0
Hi!,0.0
Well?!,0.0
"Okay, how'd it go at the doctor's?",1.0
"Well, he said there's definitely nothing to worry about, it's totally benign.",1.0
Well what is it?!,1.0
"He couldn't even tell me! He said it was just some sort of skin... abnormality. And the worst thing is he-he-he said, he said, without being able to identify it, he was reluctant to remove it.",1.0
"Y'know what? You should go to my guy, because when I went in there with my third nipple. He just lopped it right off. Y'know? So I guess I'm lucky. I mean not as lucky as people who were born with two nipples.",1.0
"At least they knew what yours was. Y'know, yours had a name.",1.0
"Oh! Maybe they'll name yours after you! Y'know, they'll call it, The Ross. And then people would be like, ""Awww, he's got a Ross.""",1.0
"Yeah, that'd be cool!",0.0
Pete's breaking up with me.,1.0
What?!,1.0
"I just checked my messages, and he said that when he gets back from Atlanta, we need to talk.",1.0
And?,0.0
Well that's it. People never say `We need to talk' unless it's something bad.,1.0
"Whoa, that doesn't necessarily mean that he's breaking up with you.",1.0
Really?!,1.0
"Yeah, maybe he just cheated on you.",1.0
"...and I know I'll never miss doing it, but I gotta tell you, it's pretty cool knowing that you're making a difference in a kid's life.",1.0
"That is so great! Oh, I...  Oh my God!",1.0
Whoa!,0.0
Oh my God!!!,0.0
"Ahh-ahh, we'd better call the fire department!",0.0
No! No!,0.0
"No, no?",0.0
"Well, we don't n-n-n-n-need a fireman, we'd, we'd like a good mechanic.  Oh my God, here they come! Well, we gotta get out of here!",1.0
W-w-w-wait! Why?!,1.0
"Well look, if I wanted to see a fireman, I would date one. Okay?",1.0
"Th-th-that's all it is, a third nipple. Y'know? Just your run-of-the-mill third nipple. Y'know? You can take it off. Just slice that baby right off!",1.0
"Take your shirt off, and let's see what we're dealing with here.  What are you doing?",1.0
Just showing you my run-of-the-mill-slice-it-right-off third nipple.,1.0
Well that's not a third nipple.,1.0
No?,0.0
"First of all, it's on your ass.",0.0
"Well then, what is it?!",1.0
"Wait a minute, hold it.  Johnson! Will you come in here a moment?",0.0
I'm with Hamilton!,0.0
"He's good with rear things, bring him in too.",0.0
"I gotta go water Pete's plants.  Y'know what, if he's gonna break up with me, maybe I won't water his plants.",1.0
"Well, if he's gonna break up with you, maybe Joey and I should water his plants. If y'know what I mean.",1.0
"Or ha-ha, we could go over there and pee on them.",1.0
"...and I-I can't take it! Y'know? I'm just, always afraid one of them is gonna catch me with the other one. It's making me crazy.",1.0
"Well honey, then why don't you break up with one of them?",1.0
Uh.,1.0
"Whoa-whoa-whoa. What ah, what happened to playing the field?",1.0
"Well, it just, it doesn't feel like playing anymore, it feels like work. It's like I'm working in the field.",1.0
"So Pheebs, pick one of them.",1.0
Yeah. Which one do you like more?,1.0
"Well, Vince is great, y'know `cause, he's like a guy, guy. Y'know? He's so burly, he's sooo very burly.",1.0
"Okay, good, so there you go. Go with Vince.",1.0
"Yeah, but Jason's really sensitive.",1.0
"Well sensitive is important, pick him.",0.0
Yeah.,1.0
"Oh sure, go with the sissy.",1.0
Jason is not a sissy!,0.0
"Oh no-no-no-no, I meant Chandler.",1.0
Y'know I have dinner plans!!,1.0
"Thank you soo much for coming on such a short notice. Ladies and gentlemen, I've-I've-I've been practicing medicine for twenty-three years, and I'm stumped.",1.0
Whoa.,0.0
"Okay, this is the den. All right, check this out. Lights!  Whoa! All right. Less lights! Bad lights! Lights go away!  Oh, see you just need to find the right command.",1.0
"Yes, and the dimmer switch.",0.0
"Whoa! For a rich guy he's got, that's a pretty small TV.",1.0
"No-no-no, that's a video-phone. But hey guys you're not supposed to be here, so please, do not touch anything.",1.0
I-kea! This is comfortable.,0.0
This place is amazing.,0.0
"God, that is the nicest kitchen.",1.0
I know.,1.0
"No! But it's the nicest kitchen, the refrigerator told me to have a great day.",1.0
Look at this! A millionaire's checkbook.,1.0
"Joey, put that down!  Oh my God! It's Pete. Okay, get out!! How the hell do you answer a video-phone!",1.0
Monica?,0.0
I guess that's how.,1.0
"Hey Monica, how's it going.",0.0
"Oh it’s umm, good! It's umm, it’s good, just here watering the plants.",1.0
Well don't forget that fiches over there by Rachel.,1.0
Ahh... Chandler's on the couch!!,1.0
"I see him, you guys are just the worst hiders ever.",1.0
Hey Pete.,0.0
"Hi, how ya doing?",0.0
"Ahh, Pete, the other day when you said you needed to talk, umm, just so I know, is it good news or bad news.",1.0
"Oh, it's good news. No, it's definitely good news. Hold on a second, I have another call.   Hey, how's it going?",1.0
"Oh no-no-no, it's still me.",1.0
"Ah, no it's not. I've got picture-in-picture here.  Yeah.  Yeah, okay. I'm gonna have to call you back later.  Monica? You. I'm gonna have to call you back.",1.0
"Oh, oh, okay umm, so I'll see you soon.",1.0
"Okay, I love you.",0.0
I love you.,0.0
"I love you, love you.",0.0
"Okay. Well, it's good news. It's good news.",1.0
"So, what do you thing the good news is?",0.0
"Wow! Look at this! He wrote a check for 50,000 dollars to Hugo Ligrens Ring Design.  Oh, sorry, what do you think the good news is?",1.0
Oh my.,1.0
Monica's gonna marry a millionaire!!!,0.0
"Hey, you gotta get Mom on the phone. Call Mom! Call Mom!",1.0
Hello.,0.0
And that's Pete's Mom.,1.0
"Mon you definitely have to make it a theme wedding, and the theme could be, “Look how much money we’ve got!” Y'know, I mean you could put, you could put money in-in the invitations! You-you could have like little money place settings. And ah, you could start with a money salad! I mean it’ll be dry, but people will like it.",1.0
"Would you stop? We’ve only been going out a couple of weeks, I mean we don’t even know if he’s gonna propose.",1.0
"Yes, but this is Pete. Okay? He’s not like other people, on your first date he took you to Rome. For most guys that’s like a third or fourth date kinda thing.",1.0
"Well if-if that’s what it is, then it’s-it’s crazy.",1.0
Monica’s right. We’re talking about getting married here. Okay? She-she can’t just rush into this.,1.0
"Oh please, what do you know! You married a lesbian!",1.0
All right. I gotta go. I have break up with Vince.,1.0
"Oh, so you’re going with the teacher, huh?",1.0
"Yeah, I like Vince a lot, y'know? But, it’s just Jason’s so sensitive, y'know? And in the long run, I think sensitive it’s just better than having just like a really, really, really nice  butt.   Jason! Definitely Jason! Okay, wish me luck!",1.0
Good luck!,0.0
"OH MY GOD!!!  Sorry, I was just imagining what it’d be like to catch the money bouquet.",1.0
"Excuse me. Umm, is Vince here?",1.0
Oh sure. Vince?!,1.0
Yo!!,0.0
Wow! I didn’t know you guys actually used those.,1.0
"So, what’s up?",0.0
"Umm, wow. This-this isn’t gonna be easy. Umm, I don’t think we should see each other anymore.",1.0
Uh-huh. G-good deal.,1.0
I’m sorry.,1.0
"No-no it’s okay. It’s just that ah, I thought we had something pretty special here. And y'know I-I felt like you were someone I could finally open up to, and...  That there’s so much in me I have to share with you yet.",1.0
"Oh my God, I didn’t...",1.0
"I’m sorry, I can’t talk. I’m gonna go write in my journal.",1.0
Wait-wait-wait! Wait!!,1.0
"I’m telling you, if you want to take care of that thing, you should go to my herbal guy.",1.0
"Thank you, but I want to remove it Pheebs. I don’t want to make it savory.",1.0
"Y'know when girls sleep with guys with weird things on their body, they tell their friends about it.",1.0
Gimme this.,0.0
"Hi! Okay, don’t be mad at me, but I couldn’t resist.",1.0
Brides magazines?,0.0
"Yes, and I know that you’d say no if he asked you, but I’m sorry; how great would you look walking down the aisle in this Donna Carin.",1.0
"Oh, you so would! Oh, you should get that anyway.  Like for clubbing.",1.0
"It is so weird, I know what I said, but uh, this morning, I was lying in bed I was, I was imagining what it would be like to say yes.  I know it’s a little sudden, and it’s a little rushed, and it’s totally not like me to do something like this, but that doesn’t mean I can’t. Right? I mean I’m-I’m crazy about Pete, and I know that we want the same things, and when I thought about saying yes, it made me really happy.",1.0
Oh my God.,1.0
I know.  I need more pie.,1.0
"Hey Mon umm, if you do get married, can I bring two guests?",1.0
You didn’t break up with that fireman?,1.0
"No, that was my way of telling you. Well, it turns out he’s incredibly sensitive, he keeps a journal and he paints. He even showed me charcoal drawings that he drew of me.",1.0
Wow!,0.0
"Yeah, well he’d prefer water colors, but y'know, he has easy access to a lot of charcoal.",1.0
"So then, are you going to dump Jason?",0.0
"Well, yeah, because I have to break up with someone, and... Okay so Jason is sensitive,  but now so’s Vince  Plus, Vince has the body y'know?  So... It’s really just about the math.",1.0
Jason?,0.0
"Yeah, come on in.",0.0
"So Phoebe, you ah, sounded kinda serious on the phone, is ah, is anything wrong?",1.0
Nah-ha!,0.0
You must be Ross.,0.0
Hi.,0.0
I am Guru Saj.,1.0
"Listen, I got to tell you I’ve-I’ve never been to a guru before, so...",1.0
"Well, relax. If it makes you feel better, I’ve attended some of the finest medical schools in Central America. Well then, let’s take a look at this skin abnormality of yours.  Come on, have a seat.  Eeh, huh. As I suspected, it’s a koondis!",1.0
What’s a koondis?,1.0
"I don’t know, what’s a koondis with you?  Please, lie down! I’ve got a sav that oughta shrink that right up.",1.0
I guess it’s worth a try.,1.0
"Oh sure, we should see results—Whoa!! Clearly not the way to go!!",1.0
What?! What?!,1.0
We appear to have angered it.,0.0
We?! We angered it?!,1.0
"Oh, I think I see the problem. And I’m afraid we’re gonna have to use a much stronger tool.  Love.",1.0
Oh God!,0.0
"Ross, there is absolutely no way this is going to come off unless you start to...",0.0
Ow!!,0.0
Oops.,0.0
"What was, what was that?",1.0
Well it’s gone.,1.0
What?! How’s that?,1.0
It got caught on my watch.,1.0
Hey!,0.0
"Lights.  Uh, romantic lights.",1.0
"Ooh, nice.",0.0
"So ah, there was this thing I wanted to talk to you about.",1.0
"Oh, right! I completely forgot about that.",1.0
"Well ah, I’ve been doing a lot of thinking, and I look at my life...",1.0
Yeah?,1.0
"And I feel like I’ve conquered the business world, and I feel like I’ve conquered the intellectual world, and now I-I have the most beautiful woman in the world.",1.0
Wow.,0.0
There’s one thing missing.,0.0
What’s that?,1.0
It’s time for me to conquer the physical world.,0.0
Okay.,0.0
"Monica, I want to become  the Ultimate Fighting Champion.",0.0
You wanna what?!,1.0
"I want to become the Ultimate Fighting Champion! It’s the most intense physical competition in the world, it’s banned in 49 states!",1.0
What are you talking about?,1.0
"Okay, my trainer, Ho Chi, is teaching me a combination of Gee Koon Doe and Brazilian street fighting, I’ve even had my own octagon training ring designed.",1.0
And I suppose you used a ring designer for that.,1.0
"Yeah. Monica, I want you there in the front row when I win. I want you close enough to smell the blood. What do you think?",1.0
My parents will be so happy.,1.0
"“Crazy underwear, creepin’ up my butt.  Crazy underwear, always in a rut. Crazy under--wear...”  Oh No! What is he doing here? All right, just keep playing, just keep playing. You’ll get through this; you’ll be fine.   Okay, thank you. And, as always no one talk to me after the show.",1.0
Hey. I was...,1.0
Hey!,0.0
"I was passin’ by and I saw that you were playing tonight, it’s kinda cool seeing you up there.",1.0
Whoa! Hey-hey! What’s going on here? Who is this guy?,1.0
"I don’t know, he just started kissing me. Get him! Get him, Vince!",1.0
What?!,1.0
What?!,1.0
"Yeah, okay, I’ve-I’ve been dating both of you, and it’s been really horrible. ‘Cause y'know it’s been a lot of fun, for me. Umm, but I-I like you both, and I, and I didn’t know how to chose, so... I’m sorry, I’m just, I’m terrible, I’m a terrible person. I’m terrible.",1.0
"Phoebe, Phoebe relax, it’s okay. I mean we never said this was exclusive.",1.0
"Yeah, and neither did we. Give yourself a break.",1.0
Really?!,1.0
"Yeah. I mean y'know, we haven’t been going out that long. Come on, we haven’t even slept together yet. Huh.",1.0
You haven’t?,1.0
You have?,0.0
"Well, this is none of my business.",0.0
I-I can’t believe this! You-you’ve slept with him?!,1.0
"Well, I made you a candle light dinner in the park.",1.0
"Y'know Phoebe, I’m gonna make this real easy for you.",0.0
"Well, that could’ve been really awkward.",1.0
You made him a candle light dinner in the park?,1.0
"Yeah, but I-I-I-I can do that for you, I’m gonna do that for you.",1.0
"Uh yeah, I can’t believe I ever went out with somebody who would actually have an open flame in the middle of a wooden area.",1.0
"Everything’s gonna be all right. Okay, Dick?",1.0
"Hello, I am Guru Saj--Whoa!!  That’s supposed to be a duck right? ‘Cause otherwise, this is waaay out of my league.",1.0
"Yeah, yeah. He’s got a, he’s got a really bad cough, and our vet, he can’t do anything about it. Is there something you can do?",1.0
"Hmm, let me see. Let me see. Do you think you could get him to eat a bat?",1.0
"Do you think that there’s a town in Missouri or some place called Sample? And ah, as you’re driving into town there’s-there’s like a sign, and it says “You’re in Sample.”",1.0
Hey.,0.0
Hey!,0.0
How’d it go with Pete?!,1.0
Tell us!,0.0
"You’re not gonna believe this. Okay, so I go over...",1.0
"I’m sorry. Ex-excuse us. I’m sorry, it’s a little crowded. Do you mind if we...",1.0
"Yeah, could you scooch?",1.0
"Yeah, move over just a little bit.",1.0
Keep on scooching.,1.0
"So guys, listen, I go over there, and umm...",1.0
Why? Why?! What’s wrong with me?!,1.0
What’s the matter?,1.0
"I have a feelin’... I, my wife is sleeping with her gynaecologist.",1.0
How do you know?,1.0
"Well y'know, he’s got access.",1.0
Yeah.,1.0
"Y'know it’s that feeling you get, y'know?",1.0
Like when you go bowling and you know you’re in somebody else’s shoes?,1.0
That’s the one.,0.0
"All right, so, so you went to Pete’s...",1.0
What happened?,1.0
I...,1.0
"Why is this happening to me?! I don’t know, maybe it’s my wound.",1.0
Forget it.,0.0
So it’s-it’s not heeled yet?,0.0
"No-no, it’s ooozing, oozing.  Could you pass me the cream? Is there any—Oh, there’s the cream.",1.0
"Thomas, this is gonna be hard, but I wanted it to come from me, and nobody else.",0.0
"What is it, Tim?",1.0
"It’s me, I’ve been sleeping with your wife.",0.0
So you’re the gynaecologist?,1.0
"Hey, I’m trying to have a private conversation! Is that okay?!",1.0
"Ooh,  Can I have a napkin, please? Could you please hand me a napkin?  Would you--Give me this thing  all right!! Enough!  And you are no longer my friend! We are finished!  Nada!! No more! You are a bastard for doing this!!  Get away from me!!",1.0
"Thomas, come back here!",0.0
"So Monica, what were you gonna tell us?",0.0
I have no idea.,1.0
"So, come on, what was the big news Pete wanted to tell you Mon?! Or should I say Mrs. Monica Becker?",1.0
"No-no-no oh, keep your name, don’t take his name.",0.0
He didn’t ask me to marry him.,1.0
Ohh.,1.0
Well then definately don’t take his name.,1.0
He wanted to tell me he’s gonna compete is some ultimate fighting competition thingy.,1.0
Pete?!,0.0
Why?! What is it?,1.0
I don’t know exactly. It’s-it’s sorta like wrestling.,1.0
Oh?!,1.0
"Yeah, but without the costumes.",1.0
Oh.,0.0
"And it’s not fake, it’s totally brutal.",1.0
"Yeah, it’s two guys in a ring, and the rules are: “They’re are no rules.”",0.0
"So you can like, bite, and pull people’s hair and stuff?",0.0
"Yeah, anything goes, except ah, eye gouging and fish hooking.",1.0
What’s fish hooking?,1.0
"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",1.0
"What? My hands are totally clean, I just gave the duck a bath.",1.0
"So thanks for the warm welcome. It’s good to have you guys on my team, and I come to play. I hope you do too. Now, let’s go out there and get ‘em! Huh? And remember, there is no ‘I’ in team.",1.0
"Yes, but there’s two in martini, soo everybody back to my office.",1.0
You! Chuckles! What’s your name?,1.0
"Oh it’s Bing, sir. I’m sorry , I was just ah...",1.0
"No-no, I heard what you said, funny. I like funny.  This team is about hard work, but it’s also about having fun. Good to have you aboard Bing!",1.0
"That’s right, Ryder. Wynona Ryder for six.  Thank you.   Yeah, we have the reservations.",1.0
Yes!!,0.0
"All right buddy, way to go!",0.0
"Dude, what are you doing?",1.0
"Thank you! Today, my boss keep slapping my butt and he was acting like it was no big deal.",1.0
"Yeesh, what’d you do about it?",1.0
"Well, I didn’t do anything. I didn’t want to be the guy who has a problem with his boss slapping his bottom.",1.0
"I gotta tell ya, I think it’s okay to be that guy.",1.0
"Yeah, maybe it’s like y'know, that jock thing. Y'know how football players pat each other after touchdowns.",1.0
"Y'know I don’t, I don’t understand guys, I mean I-I would never congratulate Monica on a great stew by y'know, grabbin’ her boob.",1.0
"Yeah, I know, for a really great stew you just y'know, stick your head in between ‘em.",1.0
"Okay, can we please go eat?",0.0
Yeah. What are we getting?,1.0
Anything but stew.,1.0
"All right so, Chandler, from now on, don’t give your boss a chance to get you. Y'know just ah, don’t turn your back to him.",1.0
"Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell.  Now what could you rub on your butt that would smell bad?",1.0
What if Joey were president?,1.0
"Umm, hey Rach, can I ask you something?",1.0
Yeah.,1.0
"Okay, you can totally say no, but umm, would it be okay with you if I set Ross up on a date?",1.0
"Oh, ah with who?",0.0
"Umm, my friend, Bonnie. She just always thought Ross was really cute, and now that you two aren’t together, she asked if I could set it up, but if you’re not cool with it...",1.0
"Oh-oh-oh, which one is Bonnie again?",0.0
"You remember her from my birthday party two years ago. She’s yeah, like, average height, medium build, bald...",1.0
Oh!  That’s fine.,1.0
"Great! Okay, good for you!",0.0
"You are iron. You are steel! Let me ask you something, how come when I call your computer support line, I have to wait an hour and a half?",1.0
"I told you, we’re adding new operators all the time. Could we concentrate on my training?",0.0
It’s just hard when I know I have e-mail I can’t get!,1.0
Hi!,0.0
Monica!  Hi honey.,0.0
"All right, on the table.",0.0
"Hey, umm, so listen umm, my friends were telling me a little about this ah, ultimate fighting thing and it, well it sounds really dangerous. I-I don’t want you to get hurt, ‘cause I kinda like you.",1.0
"Oh, believe me, I don’t want to get hurt either. I’m being smart about this. See these guys? They’re the best trainers in the world, and Hoshi here used to be a paid assassin.  A house painter! He used to be a house painter.",1.0
Promise me you’ll be careful.,0.0
I promise.,1.0
"Hey, are we still on for tonight?",0.0
Yeah.,1.0
"Okay, good, ‘cause umm, well maybe we could have a little workout of our own...",1.0
No! No boom-boom before big fight!,0.0
How ‘bout just a boom?,1.0
"Well that was depressing, I think I just bought a soft pretzel from one of the kids from Fame. Ready to go to the movies?",1.0
Um-hmm. Oh wait! This is Bonnie.,1.0
Hi!,0.0
This is Bonnie?  This is Bonnie?  You’re Bonnie?,1.0
I can show you an ID if you want?,1.0
"Oh no, I’m sorry, you look a lot different from the last time I-I saw you.",1.0
"Oh yeah, well I just started wearing bras again.",1.0
"Oh, that must be it.",0.0
Well I hope you have fun tonight.,1.0
Thanks! You too.,0.0
You said she was bald.,1.0
"Yeah, she was bald, she’s not now.",1.0
How could you not tell me that she has hair?,1.0
"I don’t know, I hardly ever say that about people.",1.0
"Ohh, well, this is just perfect!",0.0
"Well I’m sorry, I thought you said it was okay.",1.0
"Yeah, I said what was okay when I thought she was some weird bald chick. I mean, y'know, that girl has hair got all over head!",1.0
"Well, maybe it won’t work out. Maybe Ross won’t like her personality.",1.0
"Why, does she have a bad personality?",0.0
"Oh no, Bonnie’s the best!",0.0
"Bing!  Read your Computech proposal, a real homerun.  Ooh. Barely got ya that time, get over here. Come on.  Wham!  Good one. That was a good one.  Keep at it team.",1.0
What is with him?,1.0
"With him? You’re is favourite, you’re his guy!",0.0
We never get smacked.,0.0
"Well, that’s not true, he-he smacked you once.",1.0
"Not on purpose, he ricocheted of you and got me.",1.0
"I’m telling you, I need some smacks. I got a kid starting Dartmouth in the fall.",1.0
Dartmouth? Who went to Dartmouth? Dartmouth sucks. Did you go to Dartmouth Bing?,1.0
No sir.,0.0
There you go.,0.0
Hey!,0.0
"God Ross, what is that?",0.0
"Yeah, it’s the Ultimate Fighting Combo. Yeah, I saved thirty cents, plus I get to keep the cup. Yay!!",1.0
"From New York City, New York! Appearing in his Ultimate Fighting Championship debut! He’s known for his confrontational business style. Ladies and Gentlemen, introducing Pete Beck-errrr!!",0.0
"I love you, Pete!!!",0.0
"And his opponent, from Hunnington Beach, California! He’s a 300 pound street fighter, Tank Abbottttttt!!!!",1.0
Pete! Pete!! That guy’s pretty huge!,1.0
"Don’t worry, Hoshi taught me how to use an opponent’s strength and weight against him.",0.0
"Well, then that guy is in serious, serious trouble.",1.0
All right! You go get him! Let’s go!,1.0
"Here we go gentlemen, here we go!  Are you ready?   Are you ready?  Let’s get it on!!",1.0
Uh-oh.,1.0
Hey!  It’s me. Mon-i-ca! Can I just tell you how proud I am of you.,1.0
"It would be nice after hearing 20,000 people chant “You suck!”",0.0
"I mean I-I thought you were nuts at first, but you-you did it. And now you can just look back at this thing with no regrets.",1.0
"What, look back?",1.0
"Well, you’re not gonna get going are you?",1.0
Well let me ask you a question. Am I the Ultimate Fighting Champion?,1.0
"Well, no. But...",1.0
Well I’m not gonna stop until I’m the Ultimate Fighting Champion.,1.0
That guy stood on your neck until you passed out!,1.0
"Let me tell you a story. When I set out to create Moss 865, do you think it just happened overnight? No. There was Moss 1, that burnt down my Dad’s garage, there was Moss 2 that would only schedule appointments in January, and 862 others that I learned from, just like I learned from this fight, never to let a guy stand on my neck.",1.0
You didn’t know that already?,1.0
"Look, I’m gonna get better. Okay? I promise you.",1.0
"Okay, just get a lot better.  Fast.",1.0
"Oh, one other thing. Hoshi thinks that you being ringside may have affected my concentration.",1.0
Yeah. That-that was the problem.,1.0
Hey.,0.0
Hey! How long until Pete’s fight?,1.0
"Oh, about five minutes. Right now they’re interviewing his opponent. Apparently he trains by going to Iran and pulling the arms off thieves.",1.0
Hot dog?,0.0
"Four, please.  I’m really nervous.  Thank you.",1.0
"So Ross, how umm, how did it go with Bonnie?",1.0
"What? Oh! I gotta tell you, I-I wasn’t expecting to like her at all, I mean I actually wasn’t expecting to like anyone right now, but she’s really terrific.",1.0
"Ohh, that’s too bad!",1.0
"No, I-I’m saying I liked her.",1.0
"Yeah, y'know what, there are other fish in the sea.",1.0
"Pheebs, I think she’s great. Okay? We’re going out again.",1.0
"Okay, I hear you! Are you capable of talking about any thing else?",1.0
Hey! Which one’s my turkey burger?,1.0
"Ahh, the one next to my foot. Sorry.",1.0
"Hey, the fight’s starting!",0.0
"Okay, we’ll be right in.  So ah, did your boss try to slap you again today?",1.0
"Nine times! Okay, I had to put on lotion! But, it’s gonna be okay, because as of tomorrow I’m conducting an experiment, and if all goes as planned, my butt will be smack free.",1.0
Fight’s over!,0.0
"Excuse me, Doug?  Hey there sports fan!!",0.0
Bing! You got those numbers for me?,1.0
"No, I ah, I didn’t do them.",1.0
"Oh, you forgot?",1.0
"No, no I just ah, didn’t do them. Instead, I ah, hung out with a couple of friends and had a couple of beers so I certainly don’t deserve any praise, verbal or otherwise.",1.0
"Well, I got tanked myself last night. Pretty dicey drive home, Tapanzi Bridge never looked smaller.  That’s okay, you’re still my number one guy!  Bing!",1.0
Doug!!,0.0
Hmm.,0.0
I’m a little bit uncomfortable with the that way you express yourself.,1.0
"Oh, is it the swearing? I mean is it the constant swearing? Because I gotta tell ya, if it is, you can just... kiss my ass!",1.0
"No, no. It-it’s not about the swearing, it’s more about ah, the way, that you ah, occasionally, concentrate, your enthusiasm on my buttock.",1.0
Oh?,1.0
"Oh, and don’t get me wrong, I appreciate the sentiment. It’s just that I, I have a rather, sensitive posterior, and ah, besides, it’s making all the other guys jealous.",1.0
"Well, say no more. Y'know it takes guts to bring this up. Bing! You’re okay.",1.0
Okay.,0.0
Ha!  Ahhhhhhh!,1.0
Ahhhhh!,0.0
